ID,Black Area,Orange Area,TOTAL,ORANGE:BLACK RATIO
C1_T47_S_6555,121.798,21.92,156.525,0.285119624
,,0.772,,
,,4.952,,
,,3.041,,
,,2.727,,
,,1.315,,
,,34.727,,
C2_T15_S_6563,98.218,34.607,132.825,0.352348857
,,1.92,,
,,17.046,,
,,7.905,,
,,1.104,,
,,1.12,,
,,5.512,,
C5_T15_S_6616,76.137,19.007,95.144,0.249642093
,19.712,1.205,,
,35.342,9.187,,
,21.083,6.828,,
,,0.873,,
,,0.914,,
C6_T15_S_6617,86.763,28.187,114.95,0.324873506
,22.014,22.402,,
,2.61,2.856,,
,28.923,2.929,,
,30.85,,,
,1.337,,,
,1.029,,,
C7_T15_S_6621,91.22,31.768,122.988,0.348256961
,22.163,21.98,,
,33.987,4.326,,
,35.07,0.502,,
,,0.596,,
,,4.364,,
C9_T15_S_6639,89.939,24.772,114.711,0.275431126
,29.403,0.397,,
,40.1,11.567,,
,20.436,8.584,,
,,4.224,,
C11_T15_S_6644,81.768,29.049,110.817,0.355261227
,19.956,28.816,,
,14.436,0.233,,
,22.787,,,
,24.589,,,
C16_T15_S_6660,95.607,24.915,120.522,0.260598073
,69.223,2.475,,
,26.384,1.99,,
,,2.788,,
,,17.662,,
C29_T47_S_6714,77.852,29.796,107.648,0.382726198
,25.447,13.121,,
,34.396,16.675,,
,18.009,,,
C31_T47_S_6761,81.88,27.574,109.454,0.336761114
,20.164,8.06,,
,38.943,7.474,,
,22.773,0.725,,
,,11.315,,